pet_id,state
95f59af3-678e-448a-846a-c3130c58fe17,Adopted
a9bbe176-b541-4fce-b478-e7b920a9ef48,Available
cc414b6e-086c-4d32-83f4-be44641264ff,Pending
a8257298-7f65-4b90-9650-d299346e8dac,Adopted
0602a6b3-7676-4e09-abb8-f5d2224b68c4,Pending
7b7b4b44-3f05-45f5-beee-618331551fca,Adopted
0f6e07cf-63a7-4b3f-9543-f7badb191b7f,Available
9d657b63-b4fd-4124-8799-9e1669284976,Available
3d15e2fc-c955-4d38-beed-8395b698e957,Available
024f8ccf-1c27-467b-9935-7a726dee8b72,Adopted
89903b84-05a1-4c8d-93c3-c67c5f5e3ad3,Available
18bb3aa3-1ed5-4fe8-9f50-fc729da60b1a,Pending
86f79e46-d366-44fa-a2e7-523dab348a54,Adopted
df61a206-5601-435e-ad18-71d45a700b4a,Available
a1b0c511-ccc0-4698-a399-f2b28405fe13,Available
f7950701-959a-43ec-bc23-41c9e9d27e87,Adopted
1e1dc9c9-ff57-4cef-b455-befdda9f71c5,Available
7c0be322-02a5-4570-902a-7f82808ed16d,Available
4377a439-7b39-47db-b06b-12bda0a8481b,Pending
6e9d585f-053f-4c56-ba05-644ffd20918d,Adopted
3732c73c-3c0c-4c54-9173-4c89cb474d6c,Adopted
669968cb-0bbf-42d4-8e60-dc72c72181e7,Pending
43fadab0-ac56-4d94-9b94-c9a789ce83d4,Pending
e97a2853-d593-4ba0-845f-ae6fbcbc2dd7,Available
5726aeb4-2fce-4366-a675-5992bc170492,Adopted
2f4a94dc-1b58-4fe0-be84-45fe82219c68,Adopted
83cb78b4-2453-4a45-a2da-e6f2e8547a17,Pending
4022df9a-eab5-486a-90b5-f7fe46b91688,Adopted
fab593b8-ceb1-40d7-b3fc-ce0c702b6790,Adopted
293481f3-db34-45f8-8a2d-a2193803b3c0,Available
ad6f5f4c-8ea7-4c29-ae7d-9c0854ab9c8e,Pending
f8a9a009-af71-4b1d-999b-15d75d210bee,Available
5627761a-9167-466f-a5f4-f0383127062e,Pending
3b7dd69a-d262-4690-872c-5ee2a72e3eb9,Pending
a862ba74-b0b4-44ba-82da-d8ca39d09d68,Pending
fe765641-786c-40a4-ac48-3f6906cfe4ae,Adopted
91685f00-0c4b-4671-9796-2a240d57c713,Pending
0167dc80-e7d8-430e-ab0a-c53256a527e7,Adopted
c5c352ea-f2ba-4d6c-89e0-1216c0751702,Adopted
68a687b2-1979-440f-8d85-c60e44055b7d,Pending
feb9a844-0759-41a5-85f3-973619f72271,Available
6611ec3d-e820-460b-a257-13ad577a4de2,Available
5d801ae7-e827-4b26-b09e-a199de10bce9,Available
d09b7c42-0029-423a-a2db-a57c59dd4a4b,Pending
9e4cb2cb-0f66-476c-a000-99acc5888de9,Pending
9cfdb18a-e1d2-462c-ae9e-94d0abb2e454,Pending
b48ce1c5-6d1c-466f-8629-1d8c86956a4a,Available
8af6bc89-81e4-4585-b671-c27127b7cd04,Pending
cf7443e6-324c-41f6-9da6-e0a48b9989a5,Adopted
ae7de172-c44a-4b9e-ac48-6c6daae298bc,Pending
498d4f7a-492b-4b24-9232-440a0005f167,Pending
15509654-96a5-4bfe-8707-1e3a8242b7df,Available
ed11bbf0-4b41-48aa-b6ff-2d542f9107fc,Adopted
0a8530b7-7c6c-43e3-b2f6-f8f3ab565da1,Pending
a8afda16-6c65-466d-b7a4-2889337d5c84,Adopted
aee455a2-d558-4aca-b197-8bc58a2a2444,Pending
128c97fb-cf8d-4e7e-9e5a-bf2d86bd89c4,Available
310d0e97-cee8-4094-92f0-1b2fd8257850,Adopted
a5e70a84-6b30-413f-98fe-50bab3ae0505,Available
ad1b507e-806e-4fdb-8286-3ddfe5030a3b,Pending
9b2e3713-77a5-42ba-baac-e5a142e2f73c,Available
2811df90-fa73-4c84-b2a3-45f38420550c,Available
c7542166-29a1-413c-ac1d-30721c77c1b5,Pending
134f0a2b-500d-4e81-9148-25c5f21deb50,Adopted
0a54b48f-81dc-4c3e-9e90-00a8229b041c,Available
eeba2a1a-5686-4c2a-8b2c-d2c471a10261,Pending
0c2e6cae-e881-462f-ab87-bd0126e9822b,Pending
679e5bc6-493a-44a9-88cf-06862aef68a5,Adopted
e4e3f6ee-1195-4972-a031-54200d757b48,Available
43479a57-d747-4cba-8dae-c0b75f1f80be,Pending
8ec414f1-3541-495a-a5a6-642d36ddc40f,Pending
5fc5aca9-9ae2-46f5-871b-ab8b312028e7,Available
653981f9-45f0-4ede-83e2-44e403e619b8,Adopted
a6f3fbc6-ed0f-4aa1-b788-ae4677cfaab3,Pending
7b42a783-d8d8-40e5-9ed2-53728340b4cf,Adopted
d364d00e-112d-4c12-94f8-6de7c0b978c5,Pending
0d6c3c29-05d9-4c3d-939e-a9ff806788a1,Available
aeac803d-6afa-4fe2-8a12-aa062991f809,Pending
5f4b9e30-442e-4ebd-8c85-ae22a0ef94d5,Adopted
de462191-15e3-463e-a283-b7a89ee37f68,Adopted
c8282f46-0270-48b3-8d4e-4ff6b1091551,Available
b54db5be-e1dd-40f7-bccd-cd2cfee63561,Adopted
a7ff2b13-1527-466e-8a09-5f5d3d49a508,Pending
6bdbbc98-cd31-45ab-ab28-6c0458f77fc8,Pending
eecbe903-e0e9-43f6-9ffb-57b9955f3435,Adopted
9d4510ff-2eb7-4236-83b2-4d309f1a08b8,Available
b8ac2e22-588d-4302-a011-2913b962117a,Available
c87039d4-e3fb-4b50-ac78-181a28a043db,Pending
9549c28d-c3bd-4e75-a3ce-b15fdd1886f1,Adopted
df96d0b3-17b4-45df-8f9c-f6c3cb4a8edc,Available
91fbff73-90f3-4e19-86be-1fc0facf901f,Adopted
a9341ba0-8f94-4292-a3c7-9f531a84c2c7,Available
1b450db3-8277-4593-b307-cd0751d9d91b,Pending
4c87184e-828b-4836-b5d7-c4fc62b96fdd,Available
c2b82654-1d97-4fd3-b3e7-6b032d3ddf8f,Adopted
8ed62916-4d44-4c40-b947-5fef7c187a16,Adopted
c38dddff-e12a-4263-be89-91ca56340303,Adopted
6ac6b80d-7cf8-4b39-b5b9-ed828dde3f5d,Pending
2d89fdd0-a370-48b0-8899-e812f4cb9de4,Adopted
7a83aace-c045-42c3-8c96-dccbd3a838fd,Available
34312909-80fe-4726-b924-fdb270bb6db2,Pending
b24ce148-7145-40b4-8c8a-c1fb64908c9a,Adopted
b8e3ccbb-89dc-46a2-9647-f26673329c37,Pending
e371813c-20c0-4eb9-87cc-ade32a17b557,Available
0967b3dc-1a17-497b-9be8-48079a32bd46,Pending
32a2f0e8-a64b-4c5a-9a83-fbc009527c8e,Available
9940a582-07f9-4969-8409-b20261376c5c,Available
bbb7b45e-e1ff-4bd9-9423-9c1ddd9fa89a,Available
b7312a95-214e-40a4-b4e9-18b00accdcba,Adopted
87f96790-2dd5-41a0-9192-7c7a68f2be8d,Available
af5abd28-c0b3-42c0-a1e0-52f5b6525a9a,Pending
224601b8-25e6-473c-adba-db9a4a220143,Available
fc0c1698-40ee-4819-9be9-392d0751b901,Available
2b7484e8-ebed-4f1d-8111-9dee13ad06b6,Available
0f334cf6-16b4-4d75-a882-95809605bd67,Available
dae1f7d4-7ae6-4767-b6fc-1b068d81777f,Pending
8acb0b0f-8671-461d-ab82-d1aab07e8e8a,Adopted
75aebbe7-28ee-4e52-b2d5-22186038938d,Adopted
cc522fb2-2000-4241-86ee-b3dab6235636,Adopted
0aaaa253-a405-4a6b-9cc7-e93d1c69cc64,Adopted
021dd42d-81ea-43e9-a7a1-09d9072de37c,Pending
7ae30931-3103-4f42-8b72-81ab3dc92a31,Pending
08e604d1-20d0-46d9-b4ff-ca9e4a4d3fcc,Pending
c9e9049b-e071-49f1-b8f1-35229006fcb8,Adopted
b334a006-0cde-4944-968b-51dea370cc31,Adopted
b79753de-0eaf-4a5c-8ccb-a54e6c9f66db,Adopted
fd9ee491-73ec-469d-b4e0-594633368e5a,Adopted
b20ed4af-81f8-4a2f-bbf2-2c82728cec0a,Pending
6b87ac55-32ae-4d35-bd98-c863aca61440,Pending
54a47102-2055-459f-beb8-4151f95429c6,Available
3d72506b-9673-42ab-8952-40da72a406a0,Available
52ffdfb2-03cc-4ddd-b211-5a05240b962c,Available
43ad827a-655a-40da-8f4f-5a2eb77cd221,Adopted
b9af1c31-2ff2-46db-8219-b0e2ff8a9f53,Pending
daa53c8a-2b94-4161-b108-e39f4b702eb6,Available
ceadaaef-c9d3-4771-9a2f-75df04e2c0e8,Adopted
2e4557e4-5956-475e-b9af-e5780e6a8074,Pending
8b49a7da-801f-438a-a930-d571dcec8bd2,Available
86ac6f88-fe7e-4ead-a8f7-a7ad82ae600f,Adopted
be3253f2-b166-4638-928b-e9f6fe68b15a,Available
